Year	boulder	castle	green9ne	lawson	longmont	manitou	parker	woodland
year1	7409.016	8051.16	9284.657	7695.907	7484.457	11050.216	8226.771	10827.903
year2	7947.727	7517.473	7498.166	7304.594	7877.237	7753.471	9237.053	7874.858
year3	7496.662	7438.484	8379.103	7510.891	7409.022	7296.363	8504.89	8686.732
year4	8218.682	7711.232	7765.211	7566.925	8466.047	9562.455	9120.041	9129.501
year5	8658.318	9046.498	8561.551	8401.675	8164.638	8741.454	8156.475	8160.119
year6	7490.791	7377.425	8523.773	8075.265	7516.213	8218.996	7706.978	8650.462
year7	7641.945	9016.601	7331.971	7909.727	7865.122	8363.791	10239.899	8004.58
year8	7687.797	9111.096	7799.134	7283.531	9407.698	7926.748	11076.631	9355.33
year9	8283.788	11174.236	8156.236	7365.038	8577.689	8795.857	8762.72	7952.486
year10	10257.189	5617.473	8169.279	7558.847	7941.238	8287.866	8213.396	7904.937
year11	7680.669	7712.947	9391.834	8096.758	9346.589	8460.796	7717.861	8548.366
year12	7419.267	7823.674	8254.839	7581.54	8167.551	7142.397	8096.257	7466.72
year13	8209.878	10551.357	10007.075	7577.792	10136.694	7592.634	9772.499	9816.127
year14	8613.031	7881.748	10536.861	8088.124	8557.946	8307.067	11511.832	10211.979
year15	7660.788	7557.711	8695.891	7583.204	8057.943	7888.345	7395.087	8753.356
